2018-01-05 16:42:06,347  INFO   [qtp613630562-6183] - 2063390087 1534769510 TOTAL time=19 Preprocessing time=0 Persistency time=19 Change Date=[1515170526230]  Objects- A:[0], U:[0], R:[1]; Links- A:[0], U:[0], R:[1]     
2018-01-05 16:42:06,613  INFO   [qtp613630562-6164] - 1808577854 312294870 TOTAL time=18 Preprocessing time=0 Persistency time=18 Change Date=[1515170526537]  Objects- A:[0], U:[0], R:[1]; Links- A:[0], U:[0], R:[2]     
2018-01-05 16:42:07,291  INFO   [qtp613630562-6183] - 1722912039 1822818386 TOTAL time=5 Preprocessing time=0 Persistency time=5 Change Date=[1515170527249]  Objects- A:[0], U:[0], R:[1]; Links- A:[0], U:[0], R:[0]     
2018-01-05 16:42:09,548  INFO   [qtp613630562-6183] - 1219220533 975715311 TOTAL time=21 Preprocessing time=0 Persistency time=21 Change Date=[1515170529467]  Objects- A:[0], U:[0], R:[1]; Links- A:[0], U:[0], R:[1]     
2018-01-05 16:42:17,147  INFO   [qtp613630562-6183] - 204857238 849704299 TOTAL time=11 Preprocessing time=0 Persistency time=11 Change Date=[1515170537099]  Objects- A:[0], U:[0], R:[1]; Links- A:[0], U:[0], R:[1]     
2018-01-05 16:42:17,300  INFO   [qtp613630562-6183] - 1939365125 295238705 TOTAL time=15 Preprocessing time=0 Persistency time=15 Change Date=[1515170537244]  Objects- A:[0], U:[0], R:[1]; Links- A:[0], U:[0], R:[2]     
2018-01-05 16:42:17,853  INFO   [qtp613630562-6164] - 1996368217 338001979 TOTAL time=8 Preprocessing time=0 Persistency time=8 Change Date=[1515170537812]  Objects- A:[0], U:[0], R:[1]; Links- A:[0], U:[0], R:[0]     
2018-01-05 16:42:21,011  INFO   [qtp613630562-6164] - 1652928889 1929527301 TOTAL time=18 Preprocessing time=0 Persistency time=18 Change Date=[1515170540932]  Objects- A:[0], U:[0], R:[1]; Links- A:[0], U:[0], R:[1]     
2018-01-05 16:42:22,975  INFO   [qtp613630562-6164] - 1631868175 963816763 TOTAL time=19 Preprocessing time=0 Persistency time=19 Change Date=[1515170542902]  Objects- A:[0], U:[0], R:[1]; Links- A:[0], U:[0], R:[1]     
2018-01-05 16:42:23,247  INFO   [qtp613630562-6183] - 536101945 479783468 TOTAL time=17 Preprocessing time=0 Persistency time=17 Change Date=[1515170543178]  Objects- A:[0], U:[0], R:[1]; Links- A:[0], U:[0], R:[2]     
2018-01-05 16:42:23,935  INFO   [qtp613630562-6212] - 37614490 250459097 TOTAL time=8 Preprocessing time=0 Persistency time=8 Change Date=[1515170543897]  Objects- A:[0], U:[0], R:[1]; Links- A:[0], U:[0], R:[0]     
2018-01-05 16:42:26,393  INFO   [qtp613630562-6183] - 1740759086 306285047 TOTAL time=17 Preprocessing time=0 Persistency time=17 Change Date=[1515170546323]  Objects- A:[0], U:[0], R:[1]; Links- A:[0], U:[0], R:[1]     
2018-01-05 23:04:14,116  INFO   [qtp613630562-7614] - 640144541 2035076636 TOTAL time=19 Preprocessing time=0 Persistency time=19 Change Date=[1515193454080]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-01-05 23:04:26,901  INFO   [qtp613630562-7614] - 577123302 678618946 TOTAL time=10 Preprocessing time=0 Persistency time=10 Change Date=[1515193466887]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-01-05 23:04:26,922  INFO   [qtp613630562-7614] - 577123302 678618946 TOTAL time=11 Preprocessing time=0 Persistency time=11 Change Date=[1515193466887]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
2018-01-05 23:04:41,027  INFO   [qtp613630562-7614] - 37303881 419833311 TOTAL time=17 Preprocessing time=0 Persistency time=17 Change Date=[1515193481003]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-01-05 23:04:41,076  INFO   [qtp613630562-7614] - 37303881 419833311 TOTAL time=8 Preprocessing time=0 Persistency time=8 Change Date=[1515193481003]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
2018-01-05 23:04:42,559  INFO   [qtp613630562-7611] - 1266637902 1416095028 TOTAL time=25 Preprocessing time=0 Persistency time=25 Change Date=[1515193482497]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
2018-01-05 23:24:38,812  INFO   [qtp613630562-7702] - 497828960 1097414985 TOTAL time=29 Preprocessing time=0 Persistency time=29 Change Date=[1515194678708]  Objects- A:[0], U:[0], R:[1]; Links- A:[0], U:[0], R:[2]     
2018-01-05 23:26:54,415  INFO   [qtp613630562-7725] - 738161854 27795062 TOTAL time=15 Preprocessing time=0 Persistency time=15 Change Date=[1515194814386]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-01-05 23:27:11,838  INFO   [qtp613630562-7724] - 1714772122 1914391001 TOTAL time=20 Preprocessing time=0 Persistency time=20 Change Date=[1515194831806]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-01-05 23:27:11,864  INFO   [qtp613630562-7724] - 1714772122 1914391001 TOTAL time=14 Preprocessing time=0 Persistency time=14 Change Date=[1515194831806]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
2018-01-05 23:27:26,330  INFO   [qtp613630562-7724] - 1486551744 596915789 TOTAL time=11 Preprocessing time=0 Persistency time=11 Change Date=[1515194846313]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-01-05 23:27:26,396  INFO   [qtp613630562-7724] - 1486551744 596915789 TOTAL time=11 Preprocessing time=0 Persistency time=11 Change Date=[1515194846313]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
2018-01-05 23:27:27,980  INFO   [qtp613630562-7724] - 1325645237 1595250722 TOTAL time=15 Preprocessing time=0 Persistency time=15 Change Date=[1515194847935]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
2018-01-05 23:31:04,411  INFO   [qtp613630562-7751] - 1633869556 1839981869 TOTAL time=38 Preprocessing time=0 Persistency time=38 Change Date=[1515195064358]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-01-05 23:31:04,500  INFO   [qtp613630562-7751] - 1633869556 1839981869 TOTAL time=19 Preprocessing time=0 Persistency time=19 Change Date=[1515195064358]  Objects- A:[0], U:[1], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-01-05 23:31:04,534  INFO   [qtp613630562-7751] - 1633869556 1839981869 TOTAL time=21 Preprocessing time=0 Persistency time=21 Change Date=[1515195064358]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
2018-01-05 23:31:06,892  INFO   [qtp613630562-7728] - 1873793709 1624308630 TOTAL time=23 Preprocessing time=0 Persistency time=23 Change Date=[1515195066829]  Objects- A:[0], U:[1], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-02-21 17:05:34,455  INFO   [qtp1607453282-104646] - 1994914051 1209928819 TOTAL time=637 Preprocessing time=1 Persistency time=636 Change Date=[1519232733721]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-02-21 17:05:51,514  INFO   [qtp1607453282-104645] - 579763887 1480313907 TOTAL time=12 Preprocessing time=0 Persistency time=12 Change Date=[1519232751485]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-02-21 17:15:20,530  INFO   [qtp1607453282-104688] - 1606025479 906891301 TOTAL time=10 Preprocessing time=0 Persistency time=10 Change Date=[1519233320515]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-02-21 17:15:40,239  INFO   [qtp1607453282-104681] - 64068506 419483405 TOTAL time=10 Preprocessing time=0 Persistency time=10 Change Date=[1519233340222]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-02-21 17:15:44,967  INFO   [qtp1607453282-104681] - 959700953 1171790424 TOTAL time=183 Preprocessing time=0 Persistency time=183 Change Date=[1519233344681]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
2018-02-21 17:16:05,651  INFO   [qtp1607453282-104692] - 528760021 1795847281 TOTAL time=25 Preprocessing time=0 Persistency time=25 Change Date=[1519233365609]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-02-21 17:16:09,338  INFO   [qtp1607453282-104692] - 1518072044 438203209 TOTAL time=8 Preprocessing time=0 Persistency time=8 Change Date=[1519233369326]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
2018-02-21 17:16:24,682  INFO   [qtp1607453282-104688] - 1577843564 1123171770 TOTAL time=45 Preprocessing time=0 Persistency time=45 Change Date=[1519233384623]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-02-21 17:16:27,292  INFO   [qtp1607453282-104692] - 742631355 945721066 TOTAL time=7 Preprocessing time=0 Persistency time=7 Change Date=[1519233387283]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
2018-02-21 23:58:41,813  INFO   [qtp1607453282-119225] - 335851561 1550666500 TOTAL time=25 Preprocessing time=0 Persistency time=25 Change Date=[1519257521699]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-02-21 23:58:56,995  INFO   [qtp1607453282-119225] - 1537622741 697061568 TOTAL time=10 Preprocessing time=0 Persistency time=10 Change Date=[1519257536982]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-02-21 23:59:00,076  INFO   [qtp1607453282-119225] - 338898326 68168189 TOTAL time=17 Preprocessing time=0 Persistency time=17 Change Date=[1519257540001]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
2018-02-21 23:59:15,565  INFO   [qtp1607453282-119268] - 768408312 1247143199 TOTAL time=16 Preprocessing time=0 Persistency time=16 Change Date=[1519257555542]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-02-21 23:59:19,197  INFO   [qtp1607453282-119268] - 419654418 453315074 TOTAL time=9 Preprocessing time=0 Persistency time=9 Change Date=[1519257559182]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
2018-02-21 23:59:34,765  INFO   [qtp1607453282-119268] - 278518070 1766448153 TOTAL time=13 Preprocessing time=0 Persistency time=13 Change Date=[1519257574748]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-02-21 23:59:37,653  INFO   [qtp1607453282-119275] - 2088977944 1620046360 TOTAL time=7 Preprocessing time=0 Persistency time=7 Change Date=[1519257577643]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
2018-02-22 00:09:31,889  INFO   [qtp1607453282-119332] - 390686547 487813506 TOTAL time=10 Preprocessing time=0 Persistency time=10 Change Date=[1519258171875]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-02-22 00:09:56,739  INFO   [qtp1607453282-119332] - 397817765 2005063571 TOTAL time=7 Preprocessing time=0 Persistency time=7 Change Date=[1519258196729]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-02-22 00:09:59,880  INFO   [qtp1607453282-119332] - 1175412302 1533924502 TOTAL time=7 Preprocessing time=0 Persistency time=7 Change Date=[1519258199869]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
2018-02-22 00:10:12,049  INFO   [qtp1607453282-119365] - 858761105 318371518 TOTAL time=7 Preprocessing time=0 Persistency time=7 Change Date=[1519258212039]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-02-22 00:10:15,741  INFO   [qtp1607453282-119365] - 213919664 1253264772 TOTAL time=6 Preprocessing time=0 Persistency time=6 Change Date=[1519258215732]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
2018-02-22 00:10:31,548  INFO   [qtp1607453282-119365] - 220751167 1302212121 TOTAL time=8 Preprocessing time=0 Persistency time=8 Change Date=[1519258231535]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-02-22 00:10:34,176  INFO   [qtp1607453282-119332] - 619198407 1293081745 TOTAL time=7 Preprocessing time=0 Persistency time=7 Change Date=[1519258234166]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
